id,entity1,entity2,relation_id,note
199,卡氏肺囊虫肺炎,烦躁不安,1,NULL
200,卡氏肺囊虫肺炎,低热,1,NULL
201,卡氏肺囊虫肺炎,气胸,1,NULL
202,卡氏肺囊虫肺炎,消瘦,1,NULL
203,卡氏肺囊虫肺炎,乳酸左氧氟沙星片,2,NULL
204,卡氏肺囊虫肺炎,阿奇霉素片,2,NULL
205,卡氏肺囊虫肺炎,痰液细菌培养,3,NULL
206,卡氏肺囊虫肺炎,肺活检,3,NULL
207,卡氏肺囊虫肺炎,胸部平片,3,NULL
208,卡氏肺囊虫肺炎,阿奇霉素胶囊,4,NULL
209,卡氏肺囊虫肺炎,阿奇霉素分散片,4,NULL
210,卡氏肺囊虫肺炎,诺氟沙星胶囊,4,NULL
211,卡氏肺囊虫肺炎,阿奇霉素片,4,NULL
212,卡氏肺囊虫肺炎,乳酸左氧氟沙星片,4,NULL
213,卡氏肺囊虫肺炎,鸡蛋黄,5,NULL
214,卡氏肺囊虫肺炎,芝麻,5,NULL
215,卡氏肺囊虫肺炎,南瓜子仁,5,NULL
216,卡氏肺囊虫肺炎,栗子（熟）,5,NULL
217,卡氏肺囊虫肺炎,小麦粥,6,NULL
218,卡氏肺囊虫肺炎,杂粮粥,6,NULL
219,卡氏肺囊虫肺炎,蔬菜杂烩粥,6,NULL
220,卡氏肺囊虫肺炎,虾皮香芹燕麦粥,6,NULL
221,卡氏肺囊虫肺炎,豆薯小米粥,6,NULL
222,卡氏肺囊虫肺炎,花生杏仁粥,6,NULL
223,卡氏肺囊虫肺炎,瓜粒杂锦汤,6,NULL
224,卡氏肺囊虫肺炎,冬瓜粒杂锦汤,6,NULL
225,卡氏肺囊虫肺炎,麦芽糖,7,NULL
226,卡氏肺囊虫肺炎,赤砂糖,7,NULL
227,卡氏肺囊虫肺炎,白砂糖,7,NULL
228,卡氏肺囊虫肺炎,啤酒,7,NULL
229,卡氏肺囊虫肺炎,自发性气胸,8,NULL
230,卡氏肺囊虫肺炎,急性呼吸窘迫综合征,8,NULL
231,卡氏肺囊虫肺炎,内科,9,NULL
232,卡氏肺囊虫肺炎,呼吸内科,9,NULL
233,卡氏肺囊虫肺炎,磺胺类药物治疗为主,10,NULL
234,卡氏肺囊虫肺炎,对症支持性治疗,10,NULL
235,阿奇霉素胶囊,宜昌长江乳酸左氧氟沙星片(乳酸左氧氟沙星片),2,NULL
236,阿奇霉素分散片,宜昌长江乳酸左氧氟沙星片(乳酸左氧氟沙星片),2,NULL
237,诺氟沙星胶囊,宜昌长江乳酸左氧氟沙星片(乳酸左氧氟沙星片),2,NULL
238,阿奇霉素片,宜昌长江乳酸左氧氟沙星片(乳酸左氧氟沙星片),2,NULL
239,乳酸左氧氟沙星片,宜昌长江乳酸左氧氟沙星片(乳酸左氧氟沙星片),2,NULL
240,小儿急性支气管炎,湿啰音,1,NULL
241,小儿急性支气管炎,疲劳,1,NULL
242,小儿急性支气管炎,细菌感染,1,NULL
243,小儿急性支气管炎,胸痛,1,NULL
244,小儿急性支气管炎,腹泻,1,NULL
245,小儿急性支气管炎,捻发音,1,NULL
246,小儿急性支气管炎,腹痛,1,NULL
247,小儿急性支气管炎,羧甲司坦片,2,NULL
248,小儿急性支气管炎,小儿珍贝散,2,NULL
249,小儿急性支气管炎,胸部平片,3,NULL
250,小儿急性支气管炎,痰液量,3,NULL
251,小儿急性支气管炎,小儿热咳口服液,4,NULL
252,小儿急性支气管炎,金振口服液,4,NULL
253,小儿急性支气管炎,小儿牛黄清肺片,4,NULL
254,小儿急性支气管炎,治咳枇杷露,4,NULL
255,小儿急性支气管炎,小儿肺热咳喘口服液,4,NULL
256,小儿急性支气管炎,小儿消咳片,4,NULL
257,小儿急性支气管炎,鲜竹沥,4,NULL
258,小儿急性支气管炎,小儿肺咳颗粒,4,NULL
259,小儿急性支气管炎,小青龙合剂,4,NULL
260,小儿急性支气管炎,小儿珍贝散,4,NULL
261,小儿急性支气管炎,羧甲司坦片,4,NULL
262,小儿急性支气管炎,阿奇霉素分散片,4,NULL
263,小儿急性支气管炎,小儿咳喘灵颗粒,4,NULL
264,小儿急性支气管炎,鸡蛋清,5,NULL
265,小儿急性支气管炎,杏仁,5,NULL
266,小儿急性支气管炎,南瓜子仁,5,NULL
267,小儿急性支气管炎,莲子,5,NULL
268,小儿急性支气管炎,麻酱拌赤贝,6,NULL
269,小儿急性支气管炎,白扁豆粥,6,NULL
270,小儿急性支气管炎,白扁豆粳米粥,6,NULL
271,小儿急性支气管炎,马兰头菜粥,6,NULL
272,小儿急性支气管炎,拌马兰头,6,NULL
273,小儿急性支气管炎,烧猪肝,6,NULL
274,小儿急性支气管炎,煎猪肝,6,NULL
275,小儿急性支气管炎,猪肝粥,6,NULL
276,小儿急性支气管炎,白扁豆,7,NULL
277,小儿急性支气管炎,猪油（板油）,7,NULL
278,小儿急性支气管炎,猪小排（猪肋排）,7,NULL
279,小儿急性支气管炎,猪里脊肉,7,NULL
280,小儿急性支气管炎,中耳炎,8,NULL
281,小儿急性支气管炎,儿科,9,NULL
282,小儿急性支气管炎,小儿内科,9,NULL
283,小儿急性支气管炎,抗感染及止咳平喘等对症及支持治疗,10,NULL
284,小儿热咳口服液,小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
285,小儿热咳口服液,品信药业小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
286,小儿热咳口服液,叶开泰小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
287,小儿热咳口服液,纽兰药业小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
288,小儿热咳口服液,海力制药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
289,小儿热咳口服液,小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
290,小儿热咳口服液,恒泰制药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
291,小儿热咳口服液,白云山医药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
292,金振口服液,小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
293,金振口服液,品信药业小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
294,金振口服液,叶开泰小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
295,金振口服液,纽兰药业小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
296,金振口服液,海力制药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
297,金振口服液,小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
298,金振口服液,恒泰制药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
299,金振口服液,白云山医药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
300,小儿牛黄清肺片,小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
301,小儿牛黄清肺片,品信药业小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
302,小儿牛黄清肺片,叶开泰小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
303,小儿牛黄清肺片,纽兰药业小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
304,小儿牛黄清肺片,海力制药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
305,小儿牛黄清肺片,小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
306,小儿牛黄清肺片,恒泰制药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
307,小儿牛黄清肺片,白云山医药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
308,治咳枇杷露,小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
309,治咳枇杷露,品信药业小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
310,治咳枇杷露,叶开泰小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
311,治咳枇杷露,纽兰药业小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
312,治咳枇杷露,海力制药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
313,治咳枇杷露,小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
314,治咳枇杷露,恒泰制药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
315,治咳枇杷露,白云山医药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
316,小儿肺热咳喘口服液,小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
317,小儿肺热咳喘口服液,品信药业小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
318,小儿肺热咳喘口服液,叶开泰小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
319,小儿肺热咳喘口服液,纽兰药业小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
320,小儿肺热咳喘口服液,海力制药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
321,小儿肺热咳喘口服液,小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
322,小儿肺热咳喘口服液,恒泰制药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
323,小儿肺热咳喘口服液,白云山医药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
324,小儿消咳片,小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
325,小儿消咳片,品信药业小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
326,小儿消咳片,叶开泰小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
327,小儿消咳片,纽兰药业小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
328,小儿消咳片,海力制药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
329,小儿消咳片,小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
330,小儿消咳片,恒泰制药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
331,小儿消咳片,白云山医药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
332,鲜竹沥,小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
333,鲜竹沥,品信药业小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
334,鲜竹沥,叶开泰小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
335,鲜竹沥,纽兰药业小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
336,鲜竹沥,海力制药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
337,鲜竹沥,小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
338,鲜竹沥,恒泰制药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
339,鲜竹沥,白云山医药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
340,小儿肺咳颗粒,小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
341,小儿肺咳颗粒,品信药业小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
342,小儿肺咳颗粒,叶开泰小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
343,小儿肺咳颗粒,纽兰药业小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
344,小儿肺咳颗粒,海力制药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
345,小儿肺咳颗粒,小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
346,小儿肺咳颗粒,恒泰制药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
347,小儿肺咳颗粒,白云山医药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
348,小青龙合剂,小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
349,小青龙合剂,品信药业小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
350,小青龙合剂,叶开泰小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
351,小青龙合剂,纽兰药业小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
352,小青龙合剂,海力制药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
353,小青龙合剂,小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
354,小青龙合剂,恒泰制药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
355,小青龙合剂,白云山医药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
356,小儿珍贝散,小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
357,小儿珍贝散,品信药业小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
358,小儿珍贝散,叶开泰小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
359,小儿珍贝散,纽兰药业小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
360,小儿珍贝散,海力制药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
361,小儿珍贝散,小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
362,小儿珍贝散,恒泰制药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
363,小儿珍贝散,白云山医药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
364,羧甲司坦片,小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
365,羧甲司坦片,品信药业小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
366,羧甲司坦片,叶开泰小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
367,羧甲司坦片,纽兰药业小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
368,羧甲司坦片,海力制药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
369,羧甲司坦片,小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
370,羧甲司坦片,恒泰制药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
371,羧甲司坦片,白云山医药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
372,阿奇霉素分散片,小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
373,阿奇霉素分散片,品信药业小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
374,阿奇霉素分散片,叶开泰小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
375,阿奇霉素分散片,纽兰药业小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
376,阿奇霉素分散片,海力制药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
377,阿奇霉素分散片,小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
378,阿奇霉素分散片,恒泰制药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
379,阿奇霉素分散片,白云山医药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
380,小儿咳喘灵颗粒,小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
381,小儿咳喘灵颗粒,品信药业小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
382,小儿咳喘灵颗粒,叶开泰小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
383,小儿咳喘灵颗粒,纽兰药业小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
384,小儿咳喘灵颗粒,海力制药小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
385,小儿咳喘灵颗粒,小儿咳喘灵颗粒(小儿咳喘灵颗粒),2,NULL
