id,raw_context,entity
42,一直线若与一圆有交点，且连接交点与圆心的直线与该直线垂直，那么这条直线就是圆的切线。,"垂直,圆心,切线,交点,直线,圆"
43,经过切点垂直于过切点的半径的直线是圆的切线。,"垂直于,半径,切点,圆的切线,直线"
44,垂直于过切点的半径。,"垂直于,半径,切点"
45,"经过半径的外端点,并且垂直于这条半径的直线,是这个圆的切线。","端点,半径,圆的切线,直线"
46,线段DA垂直于直线AB（AD为直径）（1）切线和圆只有一个公共点。,"垂直于,线段,切线,直径,直线,圆"
47,切线的判定方法:经过半径外端并且垂直于这条半径的直线是圆的切线。,"垂直于,半径,圆的切线,直线"
48,（4）经过圆心垂直于切线的直线必过切点。,"垂直于,切点,圆心,切线,直线"
49,（1）经过切点垂直于过切点的半径的直线是圆的切线。,"垂直于,半径,切点,圆的切线,直线"
50,圆的切线垂直于过其切点的半径。,"垂直于,半径,切点,切线"
51,经过半径的非圆心一端，并且垂直于这条半径的直线，就是这个圆的一条切线。,"垂直于,半径,圆心,切线,圆,直线"
52,（5）经过切点垂直于切线的直线必过圆心。,"垂直于,切点,圆心,切线,直线"
53,说明：平面几何中，将和圆只有一个公共交点的直线叫做圆的切线。,"平面几何,圆的切线,公共交点,直线,圆"
54,这种定义不适用于一般的曲线。,"定义,曲线"
55,PT是曲线C在点P的切线，但它和曲线C还有另外一个交点。,"曲线,切线,交点"
56,相反，直线l尽管和曲线C只有一个交点，但它却不是曲线C的切线。,"曲线,切线,交点,直线"
57,③直线和圆有且只有一公共点，称相切，这条直线叫做圆的切线，这个唯一的公共点叫做切点。,"公共点,切点,相切,圆的切线,直线,圆"
58,推论2经过切点且垂直于切线的直线必经过圆心。,"垂直于,切点,圆心,切线,直线"
59,（2）经过切点垂直于切线的直线必经过圆心。,"垂直于,切点,圆心,切线,直线"
60,其中（1）是由切线的定义得到的，（2）是由直线和圆的位置关系定理得到的，（6）是由相似三角形推得的，也就是切割线定理。,"相似三角形,定义,切割线定理,切线,圆,直线"
61,它通常用直线(或曲线的切线)与(横)坐标轴夹角的正切，或两点的纵坐标之差与横坐标之差的比来表示。,"横坐标,纵坐标,正切,坐标,夹角,曲线,切线,直线"
62,切线的判定定理：经过半径的外端并且垂直于这条半径的直线是圆的切线。,"判定定理,垂直于,半径,圆的切线,直线,切线"
63,"在高等数学中，对于一个函数，如果函数某处有导数,那么此处的导数就是过此处的切线的斜率，该点和斜率所构成的直线就为该函数的一个切线。","导数,函数,切线,斜率,直线"
64,推论1：经过圆心且垂直于切线的直线必经过切点。,"垂直于,切点,圆心,切线,直线"
65,经过切点垂直于切线的直线必经过圆心。,"垂直于,切点,圆心,切线,直线"
66,推论2：经过切点且垂直于切线的直线必经过圆心。,"垂直于,切点,圆心,切线,直线"
67,"在平面直角坐标系中，重心的坐标是顶点坐标的算术平均，即其坐标为((X1+X2+X3)/3,(Y1+Y2+Y3)/3)。","平面直角坐标系,算术平均,重心,坐标"
68,空间直角坐标系——横坐标：(X1+X2+X3)/3纵坐标：(Y1+Y2+Y3)/3竖坐标：（Z1+Z2+Z3）/3。,"空间直角坐标系,横坐标,纵坐标,坐标"
69,"在同圆或等圆内,如果圆心角不等,那么圆心角大的所对的弧大,所对的弦大,所对弦上的弦心距小。","弦心距,圆心角,等圆,圆,弦,弧"
70,"在同圆或等圆中,能够互相重合的弧叫做等弧。","重合,等弧,等圆,圆,弧"
71,圆心角是指在中心为O的圆中，过弧AB两端的半径构成的∠AOB，称为弧AB所对的圆心角。,"圆心角,半径,圆,弧"
72,②在同圆或等圆中，相等的弧所对的圆周角等于它所对的圆心角的一半（圆周角与圆心角在弦的同侧）。,"圆周角,圆心角,等圆,同圆,弦,弧"
73,在同圆或等圆中，若两个圆心角、两条弧、两条弦、两条弦的弦心距中有一组量相等，则对应的其余各组量也相等。,"弦心距,圆心角,等圆,圆,弦,弧"
74,一般指半径为R的圆中，n°的圆心角所对弧长为nπR/180°，广义上指光滑曲线的弧长。,"圆心角,半径,弧长,光滑曲线,圆"
75,现代三角学的确认：直到十八世纪，所有的三角量：正弦、余弦、正切、余切、正割和余割，都始终被认为是已知圆内与同一条弧有关的某些线段，即三角学是以几何的面貌表现出来的，这也可以说是三角学的古典面貌。,"线段,正切,几何,正割,余割,余弦,余切,正弦,圆,弧"
76,"在同圆或等圆中,如果(1)两个圆心角,(2)两条弧,(3)两条弦(4)两条弦上的弦心距中,有一组量相等,那么它们所对应的其余各组量都分别相等。","弦心距,圆心角,等圆,同圆,弦,弧"
77,(3)因为在同圆中相等的圆心角所对的弧相等，所以整个圆也被等分成360份，这时，把每一份这样得到的弧叫做1°的弧。,"圆心角,等分,同圆,弧,圆"
78,同弧或等弧所对的圆周角相等。,"圆周角,等弧,弧"
79,同圆或等圆中相等的圆周角所对的弧也相等。,"圆周角,等圆,圆,弧"
80,半圆所对的圆周角是直角。,"圆周角,直角,半圆"
81,90°的圆周角所对的弦是直径。,"圆周角,直径,弦"
82,圆面积等于无穷多个小扇形面积的和，所以在最后一个式子中，各段小弧相加就是圆的周长2πR，所以有。,"扇形面积,圆面积,弧,圆的周长"
83,"如果圆的直径平分弧,那么这条直径垂直平分这条弧所对的弦。","垂直,平分,圆的直径,弦,弧"
84,"如果圆的直径平分线(这条弦不是直径),那么这条直径垂直这条弦,并且平分这条弦所对弧。","垂直,平分,圆的直径,弦,弧"
85,在右图中，θ是扇形的角弧度，r是圆的半径，L是小扇形的弧长。,"弧度,半径,扇形,弧长,圆"
86,"顶点在圆周上,且它的两边分别与圆有另一个交点的角叫做圆周角。","圆周角,角,顶点,交点,圆"
87,圆周角等于相同弧所对的圆心角的一半。,"圆周角,圆心角,弧"
88,在同圆或等圆中，能够互相重合的两条弧叫做等弧。,"重合,等弧,等圆,圆,弧"
89,摆动六分仪时，天体影象能在望远镜视野中相对水天线划弧线，当天体影象在弧线最低点并且位于望远镜视野中央时，可以判断六分仪刻度弧平面与天体方位圆平面重合，即六分仪处于垂直位置。,"重合,垂直,平面,弧线,圆,弧"
90,半径为R的圆中，n°的圆心角所对弧长的计算公式为。,"圆心角,半径,弧长,圆"
91,圆周角定理:在同圆或等圆中，同弧或等弧所对的圆周角都等于这条弧所对的圆心角的一半图一。,"圆周角,圆心角,等弧,圆周角定理,等圆,同圆,弧"
92,"推论四：在同圆或者等圆中,两条平行弦所夹的弧相等。","等圆,同圆,平行弦,弧"
93,"垂径定理是数学几何(圆)中的一个定理,它的通俗的表达是:垂直于弦的直径平分弦且平分这条弦所对的两条弧。","垂直于,平分,几何,垂径定理,直径,圆,弦,弧"
94,①在同圆或等圆中，如果两个圆心角，两个圆周角，两组弧，两条弦，两条弦心距中有一组量相等，那么他们所对应的其余各组量都分别相等。,"弦心距,圆周角,圆心角,等圆,圆,弦,弧"
95,③圆心角性质：在同圆或等圆中，相等的圆心角所对的弧相等，所对的弦相等，所对的弦的弦心距也相等。,"弦心距,圆心角,等圆,同圆,弦,弧"
96,则有∠APC=∠C，弧AC=弧BE（圆中两平行弦所夹弧相等）。,"平行,圆,弦,弧"
97,弧度制的基本思想是使圆半径与圆周长有同一度量单位，然后用对应的弧长与圆半径之比来度量角度，这一思想的雏型起源于印度。,"度量单位,弧度制,圆周长,圆半径,弧长"
98,"在同圆或等圆中,如果两个圆心角、两条优劣弧、两条弦、或两条弦心距,这四组量中有一组量相等,那么它们所对应的其余三组量也相等。","弦心距,圆心角,劣弧,等圆,圆,弦"
99,当这段弧长正好等于圆的半径时，两条射线的夹角的弧度为1)。,"射线,弧度,夹角,半径,弧长,圆"
100,圆的两条平行弦所夹的弧相等。,"平行,圆,弦,弧"
101,我们已知道，托勒密和希帕克造出的弦表是圆的全弦表，它是把圆弧同弧所夹的弦对应起来的。,"圆弧,圆,全弦表,弧"
102,"圆心角定理同圆或等圆中,相等的圆心角所对的弦相等,所对的弧相等,弦心距相等。","弦心距,圆心角定理,等圆,圆,弦,弧"
103,扇形是圆的一部分，由两个半径和和一段弧围成，在较小的区域被称为小扇形，较大的区域被称为大扇形。,"小扇形,大扇形,半径,区域,扇形,圆,弧"
104,弦切角定理：弦切角等于它所夹的弧对的圆周角，它是圆中证明角相等的重要定理之一。,"圆周角,弦切角定理,圆,弧,弦切角"
105,半径—r或R（在环形圆中外环半径表示的字母）。,"半径,圆"
106,在不等的圆中不存在相等的弧。,"圆,弧"
107,"在同圆或等圆中,同弧或同弦所对的圆周角等于二分之一的圆心角。","圆周角,圆心角,等圆,同圆,弦,弧"
108,则有∠P=∠DCE，弧AC=弧BE（圆中两平行弦所夹弧相等）。,"圆,弦,弧"
109,"在同圆或等圆中,能够互相重合的两条弧叫做等弧。","重合,等弧,等圆,同圆,弧"
110,"直径的两个端点把圆分成两条弧,每条弧都叫做半圆,大于半圆的弧叫做优弧,小于半圆的弧叫做劣弧。","劣弧,端点,优弧,半圆,直径,圆,弧"
111,同弧或等弧所对的圆周角相等。,"圆周角,等弧, 同弧"
112,"同圆或等圆中,相等的圆周角所对的弧是等弧。","圆周角,等弧,等圆,同圆,弧"
113,圆的周长公式推导（此方面涉及到弧微分）。,"周长,圆,弧微分,弧"
114,"圆上任意两点间的部分叫做圆弧,简称弧。","圆弧,圆,弧"
115,（6）圆内角的度数等于这个角所对的弧的度数之和的一半。,"内角,度数,圆,弧"
116,(6)顶点在圆心，两边与圆相交的角叫做圆周角，圆周角的度数等于它所对弧的度数的一半，一条弧所对的圆周角等于它所对的圆心角的一半。,"圆周角,圆心角,顶点,度数,圆心,相交,圆,弧"
117,在同圆或等圆中，能够互相重合的弧叫做等弧，等弧不只是指弧的长度相等，还应包括弧的弯曲程度(曲率)相同，因此，在不等的圆中不存在相等的弧。,"重合,等弧,曲率,长度,等圆,同圆,弧,圆"
118,垂径定理是数学几何(圆）中的一个定理，它的通俗的表达是：垂直于弦的直径平分弦且平分这条弦所对的两条弧。,"垂直于,平分,数学,几何,垂径定理,直径,圆,弦,弧"
119,推论1：同弧或等弧所对的圆周角相等。,"圆周角,等弧,圆,同弧"
120,同圆或等圆中，相等的圆周角所对的弧也相等。,"圆周角,等圆,同圆,弧"
121,联系圆心角、弧、弦、弦心距之间的关系。,"弦心距,圆心角,弦,弧"
122,在同圆或等圆中，圆心角、圆心角所对的弦、圆心角所对的弧和对应弦的弦心距，四对量中只要有一对相等，其他三对就一定相等。,"弦心距,圆心角,等圆,同圆,弦,弧"
123,"在同圆或等圆中,相等的弧所对的圆周角等于它所对的圆心角的一半。","圆周角,圆心角,等圆,同圆,弧"
124,"在同圆或等圆内,如果圆心角相等,那么它们所对的弧相等,所对的弦相等,所对弦上的弦心距相等。","弦心距,圆心角,等圆,同圆,弦,弧"
125,“圆心角相等，则所对的弧相等”的前提是在同圆或等圆中，如图2，与所对的圆心角相等，它们的度数也相等，但弧的长度不等。,"圆心角,长度,度数,等圆,同圆,弧"
126,在同圆或等圆中，两圆周角相等，则其所对的弦(或弧)也相等。,"圆周角,等圆,同圆,弦,弧"
127,反之，等弧所对的圆周角相等。,"圆周角,等弧"
128,（7）圆外角的度数等于这个角所截两段弧的度数之差的一半。,"圆外角,度数,弧"
129,圆心角、弧、弦、弦心距之间的相等关系：在同圆或等圆中，相等的圆心角所对的弧、弦和所对弦的弦心距相等。,"弦心距,圆心角,等圆,同圆,弦,弧"
130,(5)顶点在圆心的角叫圆心角，在同圆或等圆中，圆心角、弧、弦、弦心距之间的关系是。,"弦心距,圆心角,顶点,圆心,等圆,同圆,弦,弧"
131,"在同圆或等圆中,如果两个圆心角,两个圆周角,两组弧,两条弦,两条弦心距中有一组量相等,那么他们所对应的其余各组量都分别相等。","弦心距,圆周角,圆心角,等圆,同圆,弦,弧"
132,"圆心角、弧、弦、弦心距之间的相等关系:在同圆或等圆中,相等的圆心角所对的弧、弦和所对弦的弦心距相等,四者有一个相等,则其他三个都相等。","弦心距,圆心角,等圆,同圆,弦,弧"
133,圆周角与弦切角的顶点都在圆上，圆周角的两边都是过顶点的弦，而弦切角的一条边是过顶点的弦，另一条边是过顶点的切线。,"圆周角,弦切角,顶点,切线,圆,弦"
134,弦切角等于它所夹的弧对的圆周角，弦切角的度数等于它所夹的弧的度数的一半，两个弦切角所夹的弧相等，这两个弦切角相等。,"圆周角,弦切角,度数,弧"
135,"垂径定理:如果圆的直径垂直于弦,那么这条直径平分这条弦,并且平分这条弦所对的弧。","垂直于,平分,垂径定理,直径,圆,弦,弧"
136,分别以两个端点为圆心适当长度（相等）为半径做圆（只画出与线段相交的弧即可），再分别以两交点为圆心，等长为半径（保证两圆相交）做圆，过最后的两个圆的两个交点做直线，这条直线垂直且平分这条线段即线段的垂直平分线。,"垂直平分线,线段,垂直,平分,端点,长度,半径,圆心,相交,交点,圆,直线,弧"
137,”这时真假分数走到了一起，他们手拉着手说：“让我们去拜访那些还不认识的有理数兄弟吧!”他们还想遍访了各种有理数以后，成立一个有理数王国呢。,"有理数,假分数"
138,如果在整个有理数范围内讨论，则绝对值大于或等于1的分数为假分数。,"有理数,假分数,绝对值,分数"
139,平行四边形底=等腰梯形上底和下底之和，平行四边形高=等腰梯形的高，设上底为，下底为，高为，则平行四边形面积，所以等腰梯形面积。,"平行四边形,等腰梯形,面积"
140,设有两个完全一样的等腰梯形，将这两个梯形拼成一个平行四边形，则。,"平行四边形,等腰梯形,梯形"
141,分析：本题考查有关三角形、四边形的综合证明。,"四边形,三角形"
142,涉及到等腰梯形的性质、平行四边形的判定与性质、等腰三角形的性质等。,"平行四边形,等腰三角形,等腰梯形"
143,判定一个任意四边形为等腰梯形，如果不能直接运用等腰梯形的判定定理，一般的方法是通过作辅助线，将此四边形分解为熟悉的多边形，此例就是通过作平行线，将四边形分解成为一个平行四边形和一个等腰三角形。,"平行四边形,等腰三角形,等腰梯形判定定理,平行线,辅助线,四边形,多边形"
144,三角形和正多边形一定有外接圆。,"正多边形,外接圆,三角形"
145,"任何正多边形都有一个外接圆与一个内切圆,这两个圆是同心圆。","正多边形,外接圆,内切圆,同心圆,圆"
146,"所有的正多边形都有外接圆,外接圆的圆心和正多边形的中心重合。","正多边形,外接圆,重合,圆心"
147,边心距可以通过正多边形外接圆的半径和边长求出，如果正n边形的外切圆的半径为R边长为s，则边心距为。,"正多边形,外接圆,半径,边长,圆,外切,边心距"
148,正多边形都有的外接圆，每条边的中心角，实际上就是这条边所对的弧的圆心角。,"正多边形,外接圆,中心角,圆心角,弧"
149,正多边形的边心距是正多边形的外接圆圆心（同时也是内切圆圆心）到正多边形某一边的距离。,"正多边形,外接圆,内切圆,圆心,距离"
150,正多边形的外接圆的半径叫做半径。,"正多边形,外接圆,半径"
151,（2）正多边形必然有内切圆，而且其内切圆的圆心和外接圆的圆心重合，都在正多边形的中心。,"正多边形,外接圆,内切圆,重合,圆心"
152,任何一个正多边形，都可作一个外接圆，多边形的中心就是所作外接圆的圆心，所以每条边的中心角，实际上就是这条边所对的弧的圆心角，因此这个角就是360度÷边数。,"正多边形,外接圆,中心角,多边形,圆心角,圆心,弧"
153,正多边形各边所对的外接圆的圆心角都相等，这个圆心角叫做正多边形的中心角。,"正多边形,外接圆,中心角,圆心角"
154,正多边形的外接圆的圆心叫做正多边形的中心。,"正多边形,外接圆,圆心"
155,①有两个交点抛物线与轴相交。,"抛物线,相交,交点"
156,与对称轴相交的抛物线上的点被称为“顶点”，并且是抛物线最锋利弯曲的点。,"对称轴,抛物线,顶点,相交"
157,与对称轴相交的抛物线上的点被称为“顶点”。,"对称轴,抛物线,顶点,相交"
158,二元二次方程由一个二元一次方程和一个二元二次方程组成的方程组，一般用代入法求解，即将方程组中的二元一次方程用含有二元二次方程的应用一个未知数的代数式表示另一个未知数，然后代入二元二次方程中，从而化“二元”为“一元”，如此便得到一个一元二次方程。,"二元二次方程,二元一次方程,一元二次方程,方程组,代入法,代数式,未知数"
159,由一个二元一次方程和一个二元二次方程组成的方程组，一般用代入法求解，即将方程组中的二元一次方程用含有一个未知数的代数式表示另一个未知数，然后代入二元二次方程中，从而化“二元”为“一元”，如此便得到一个一元二次方程。,"二元二次方程,二元一次方程,一元二次方程,方程组,代入法,代数式,未知数"
160,如果一个二次方程只含有一个未知数x，那么就称其为一元二次方程，其主要内容包括方程求解、方程图像、一元二次函数求最值三个方面。,"一元二次方程,二次函数,未知数,方程,最值"
161,如果一个二次方程含有二个未知数x、y，那么就称其为二元二次方程，以此类推。,"二元二次方程,未知数,方程"
162,"分析：矩形aboc的边AB和AC分别是A点到x轴和y轴的垂线段，设A点坐标为（m,n），则AB=|n|,AC=|m|。","垂线段,x轴,坐标,y轴,矩形"
163,显然，垂线段是指以直线外一点与垂足为两端点的线段。,"垂线段,端点,垂足,直线"
164,"点到直线的距离:直线外一点到这条直线的垂线段的长度,叫做点到直线的距离。","垂线段,长度,直线,距离"
165,从直线外一点到这条直线的垂线段的长度，称之点到直线的距离，若两条直线相交，且相交后的四个角都为90°，则这两条直线互相垂直，即为互为垂线。,"互相垂直,垂线段,长度,垂线,相交,直线,距离"
166,"联结直线外一点与直线上各点得所有线段中,垂线段最短。","垂线段,直线"
167,"连接直线外一点与直线上各点的所有线段中,垂线段最短。","垂线段,直线"
168,简单说成:垂线段最短。,线段
169,③点到直线的距离：直线外一点到这条直线的垂线段的长度，叫做点到直线的距离。,"垂线段,长度,直线,距离"
170, 在连接直线外一点与直线上的所有点的连线中，垂线段最短，简称垂线段最短。,"垂线段,直线"
171,6直线外一点与直线上各点连接的所有线段中，垂线段最短。,"垂线段,直线"
172,"点到直线的距离:自点向直线做垂线段,这条垂线段的长度叫做点到直线的距离。","垂线段,长度,直线,距离"
173,垂线段是一个图形，点到直线的距离是一个数量。,"垂线段,数量,直线,距离,图形"
174,(4)点到直线的距离：直线外一点到这条直线的垂线段的长度，叫作点到直线的距离。,"垂线段,长度,直线,距离"
175,②连接直线外一点与直线上各点的所有线段中，垂线段最短。,"垂线段,直线"
176,直线外任意一点到这条直线的垂线段的长度，叫做点到这条直线的距离。,"垂线段,长度,直线,距离"
177,关键提醒：垂线是直线，垂线段特指一条线段，点到直线的距离是指垂线段的长度，是一个数量，是有单位的。,"垂线段,长度,数量,垂线,单位,直线,距离"
178,"直线外一点到这条直线的垂线段的长度,叫做点到直线的距离。","垂线段,长度,直线,距离"
179,从直线外一点到这条直线的垂线段的长度，叫做点到直线的距离。,"垂线段,长度,直线,距离"
180,直线外一点与直线上各点连接的所有线段中，垂线段最短。,"垂线段,直线"
181,从三角形一顶点向对边或其延长线所引垂线的线段称为以该对边为底边的三角形的“高”。,"延长线,三角形,线段,顶点,垂线,对边,高"
182,也称垂线段的长为高。,"垂线段,长,高"
183,(3)性质：①过一点有且只有一条直线与已知直线垂直。,"垂直,直线"
184,②连接直线外一点与直线上各点的所有线段中，垂线段最短，简单说成：垂线段最短。,"垂线段,直线"
185,从直线L外一点P向直线L作垂线，垂足记为O，则线段PO叫做点P到直线L的垂线段。,"垂线段,垂线,垂足,直线"
186,各项都含有的公共的因式叫做这个多项式各项的公因式。,"公因式,多项式,因式"
187,"公因式可以是单项式,也可以是多项式。","公因式,单项式,多项式"
188,标准的辗转相除技能对于中学生来说难度颇高，但是中学有时候要处理的多项式次数并不太高，所以反复利用多项式的除法也可以但比较笨，不过能有效地解决找公因式的问题。,"公因式,多项式,除法,辗转相除"
189,"提公因式后,另一个因式:1。","公因式,因式"
190,项数应与原多项式的项数一样。,"多项式,项数"
191,"公因式可以是单项式,也可以是多项式。","公因式,单项式,多项式"
192,答：第二个因式中的前两项如果提出公因式2，就变为2(x-y)，它是第一个因式的二倍，然后把(x-y）看作一个整体进行乘法运算，可把原多项式变形为关于(x-y）的二次三项式，就可以用十字分解法分解因式了。,"二次三项式,分解因式,公因式,多项式,因式,乘法,分解,十字分解法"
193,最大公因式和互素概念都可以推广到几个多项式的情形。,"公因式,多项式,互素"
194,公因式与最简公分母二者在概念不同是有很大的区别，公因式是指多项式中各项都含有的因式，最简公分母是各分母所有因式的最高次幂的积。,"最简公分母,公因式,多项式,因式,分母,幂"
195,如果一个多项式的各项有公因式，可以把这个公因式提出来，从而将多项式化成两个因式乘积的形式，这种分解因式的方法叫做提公因式法。,"提公因式法,分解因式,公因式,多项式,乘积,因式"
196,提取公因式法的一般步骤:1。,提取公因式法
197,确定应提取的公因式。,公因式
198,"多项式除以公因式,所得的商作为另一个因式。","公因式,多项式,除以,因式,商"
199,把多项式写成这两个因式的积的形式。,"多项式,因式"
200,如果分式的分母、分子都是多项式，则将分式的分母、分子分解因式后除以公因式，转化成最简分式。,"最简分式,分解因式,公因式,多项式,除以,分式,分母,分子"
201,"多项式的某个整项是公因式时,先提出这个公因式后,括号内切勿漏掉。","公因式,多项式"
202,具体方法：当各项系数都是整数时，公因式的系数应取各项系数的最大公约数。,"最大公约数,公因式,系数,整数"
203,字母取各项的相同的字母，且各字母的指数取次数最低的。,"指数,次数"
204,取相同的多项式，且多项式的次数取最低的。,"多项式的次数,多项式"
205,如果多项式的各项有公因式，可以把这个公因式提取出来作为多项式的一个因式，提取公因式后的式子放在括号里，作为另一个因式。,"提取公因式,公因式,多项式,因式"
206,各项都含有的公共的因式叫做这个多项式各项的公因式。,"公因式,多项式,因式"
207,所以该多项式有公因式，应提取的公因式为。,"公因式,多项式"
208,"公因式,即多项式各项都含有的相同因式。","公因式,多项式,因式"
209,"如果一个多项式的各项含有公因式,那么可以把公因式提取出来进行因式分解,这种因式分解的方法叫做提取公因式法。","提取公因式法,因式分解,公因式,多项式"
210,"因式分解虽然没有固定方法,但是求两个多项式的公因式却有固定方法。","因式分解,公因式,多项式"
211,要注意：多项式的某个整项是公因式时，先提出这个公因式后，括号内切勿漏掉1。,"公因式,多项式"
212,提公因式要一次性提干净，并使每一个括号内的多项式都不能再分解。,"公因式,多项式,分解"
213,把各项中相同字母或因式的最低次幂的积作为公因式提出来。,"公因式,因式,幂"
214,当系数为整数时，还要把它们的最大公约数也提出来，作为公因式的系数。,"最大公约数,公因式,系数,整数"
215,当多项式首项符号为负时，还要提出负号 。,"多项式,首项"
216,分式的分子和分母都是多项式，将分子和分母分别分解因式，再将公因式约去。,"分解因式,公因式,多项式,分式,分母,分子"
217,若最终余式结果为零次多项式，则原来f(x)与g(x)互素。,"零次多项式,余式,互素"
218,若最终余式结果为零多项式，则原来f(x)与g(x)的最大公因式是最后一次带余除法的是除式。,"零多项式,带余除法,公因式,除式"
219,②提公因式法：一般地，如果多项式的各项有公因式，可以把这个公因式提到括号外面，将多项式写成因式乘积的形式，这种分解因式的方法叫做提公因式法。,"提公因式法,分解因式,公因式,多项式,乘积,因式"
220,"多项式的第一项是系数为负数的项,一般地,应提出负系数的公因式。","公因式,多项式,系数,负系数"
221,"如果分式的分子和分母都是单项式或者是几个因式乘积的形式,将它们的公因式约去。","公因式,单项式,乘积,分式,因式,分母,分子"
